week_ending,region_code,contract_code,contract_name,calls_received,calls_answered,calls_answered_60s,calls_abandoned,calls_triaged,pct_answered_60s,pct_abandoned,meets_60s_target
2025-12-14,London,111AL9,North Central London (LAS),9461,8863,6805,9111,8082,76.8,50.7,0
2025-12-14,Midlands,111AL7,Midlands,79508,78853,73363,79508,74382,93.0,50.2,0
2025-12-14,North East and Yorkshire,111AA1,North East,25912,21130,14472,23373,19354,68.5,52.5,0
2025-12-14,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),49076,40698,31359,43351,37374,77.1,51.6,0
2025-12-14,North West,111AJ3,North West including Blackpool (ML CSU),47207,41936,16519,47207,41147,39.4,53.0,0
2025-12-14,South East,111AA6,Isle of Wight,2050,1719,1287,1847,1735,74.9,51.8,0
2025-12-14,South East,111AG9,Thames Valley,18584,16824,7424,18584,15735,44.1,52.5,0
2025-12-14,South East,111AH9,Hampshire and Surrey Heath,16694,15092,6948,16694,14068,46.0,52.5,0
2025-12-14,South East,111AI2,Surrey Heartlands,6666,5866,4341,6022,5147,74.0,50.7,0
2025-12-14,South East,111AI9,"Kent, Medway & Sussex",27231,22035,10272,24831,22035,46.6,53.0,0
2025-12-14,South West,111AI4,Dorset (DHC),6995,5987,4918,6134,5803,82.1,50.6,0
2025-12-14,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",8838,7700,4857,7907,7545,63.1,50.7,0
2025-12-14,South West,111AL2,Devon (PPG),10272,9182,6892,9411,8236,75.1,50.6,0
2025-12-14,South West,111AL3,Cornwall (HUC),4226,4099,3546,4226,3684,86.5,50.8,0
2025-12-14,South West,111AL5,Somerset (HUC),4456,4339,3670,4456,3549,84.6,50.7,0
2025-12-14,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8659,7794,5793,8048,7221,74.3,50.8,0
2025-12-14,South West,111AL8,Gloucestershire (Trust/IC24),5070,4611,3296,4823,4524,71.5,51.1,0
2025-12-21,East of England,111AC5,Cambridgeshire and Peterborough,7707,7478,6135,7707,6088,82.0,50.8,0
2025-12-21,East of England,111AC7,Milton Keynes,1962,1957,1946,1962,1825,99.4,50.1,1
2025-12-21,East of England,111AG7,Luton and Bedfordshire,5990,5816,4861,5990,4975,83.6,50.7,0
2025-12-21,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,6805,6475,5998,6542,6424,92.6,50.3,0
2025-12-21,East of England,111AH4,Mid & South Essex,9233,8478,5934,8912,8004,70.0,51.2,0
2025-12-21,East of England,111AH7,North East Essex & Suffolk,8237,7740,7221,7783,6758,93.3,50.1,0
2025-12-21,East of England,111AM1,West Essex & Hertfordshire,10437,10150,8273,10437,9485,81.5,50.7,0
2025-12-21,London,111AD7,South East London,11360,10962,9842,11104,9905,89.8,50.3,0
2025-12-21,London,111AH5,North East London,15642,15181,13614,15354,15492,89.7,50.3,0
2025-12-21,London,111AJ1,North West London,13327,12842,11434,13009,12511,89.0,50.3,0
2025-12-21,London,111AK9,South West London (PPG),9597,9376,8626,9440,9618,92.0,50.2,0
2025-12-21,London,111AL9,North Central London (LAS),8879,8455,7109,8595,7793,84.1,50.4,0
2025-12-21,Midlands,111AL7,Midlands,75737,75619,75173,75737,71276,99.4,50.0,1
2025-12-21,North East and Yorkshire,111AA1,North East,24074,21403,19783,21783,19445,92.4,50.4,0
2025-12-21,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),46071,40484,33691,42945,37043,83.2,51.5,0
2025-12-21,North West,111AJ3,North West including Blackpool (ML CSU),44508,41562,23445,44508,39949,56.4,51.7,0
2025-12-21,South East,111AA6,Isle of Wight,2068,1682,1061,1972,1709,63.1,54.0,0
2025-12-21,South East,111AG9,Thames Valley,18476,17565,11993,18476,16370,68.3,51.3,0
2025-12-21,South East,111AH9,Hampshire and Surrey Heath,16028,15202,10509,16028,14222,69.1,51.3,0
2025-12-21,South East,111AI2,Surrey Heartlands,6281,5954,5522,5993,5214,92.7,50.2,0
2025-12-21,South East,111AI9,"Kent, Medway & Sussex",26704,22110,11473,24657,22110,51.9,52.7,0
2025-12-21,South West,111AI4,Dorset (DHC),7386,6328,5084,6465,6241,80.3,50.5,0
2025-12-21,South West,111AI5,"Bristol, North Somerset & South Gloucestershire (BRISDOC)",8063,7613,6292,7653,7335,82.6,50.1,0
2025-12-21,South West,111AL2,Devon (PPG),9799,9237,8670,9296,8164,93.9,50.2,0
2025-12-21,South West,111AL3,Cornwall (HUC),4441,4307,3544,4441,3931,82.3,50.8,0
2025-12-21,South West,111AL5,Somerset (HUC),4486,4357,3547,4486,3593,81.4,50.7,0
2025-12-21,South West,111AL6,"BaNES, Swindon & Wiltshire (Medvivo-PPG)",8203,7764,7280,7874,7325,93.8,50.4,0
2025-12-21,South West,111AL8,Gloucestershire (Trust/IC24),5008,4595,3204,4848,4565,69.7,51.3,0
2025-12-28,East of England,111AC5,Cambridgeshire and Peterborough,9009,8788,7966,9009,6840,90.6,50.6,0
2025-12-28,East of England,111AC7,Milton Keynes,2003,1986,1900,2003,1847,95.7,50.2,1
2025-12-28,East of England,111AG7,Luton and Bedfordshire,6183,6057,5511,6183,5355,91.0,50.5,0
2025-12-28,East of England,111AG8,Norfolk including Great Yarmouth and Waveney,9777,7744,4464,9372,7821,57.6,54.8,0
2025-12-28,East of England,111AH4,Mid & South Essex,10881,8780,4942,10547,8341,56.3,54.6,0
2025-12-28,East of England,111AH7,North East Essex & Suffolk,9937,9467,8014,9609,8278,84.7,50.4,0
2025-12-28,East of England,111AM1,West Essex & Hertfordshire,11832,11527,10153,11791,10580,88.1,50.6,0
2025-12-28,London,111AD7,South East London,11020,10466,8789,10815,9670,84.0,50.8,0
2025-12-28,London,111AH5,North East London,14937,14184,11869,14644,14770,83.7,50.8,0
2025-12-28,London,111AJ1,North West London,13388,12675,10722,13052,12179,84.6,50.7,0
2025-12-28,London,111AK9,South West London (PPG),9560,9273,7899,9412,9504,85.2,50.4,0
2025-12-28,London,111AL9,North Central London (LAS),8832,8155,6327,8573,7494,77.6,51.2,0
2025-12-28,Midlands,111AL7,Midlands,83332,82801,77831,83332,78047,94.0,50.2,0
2025-12-28,North East and Yorkshire,111AA1,North East,25305,21766,18109,23015,19995,83.2,51.4,0
2025-12-28,North East and Yorkshire,111AI7,Yorkshire and Humber (NECS),49977,44309,36485,46685,40748,82.3,51.3,0
2025-12-28,North West,111AJ3,North West including Blackpool (ML CSU),50126,45981,28358,50126,44666,61.7,52.2,0
